iter	MultiClass
0	1.332117411
1	1.07239708
2	0.8892031601
3	0.7581503257
4	0.6868059885
5	0.6052244173
6	0.5476085925
7	0.5058144009
8	0.4667267446
9	0.4498102057
10	0.4189275714
11	0.3715889443
12	0.3559714398
13	0.3335679036
14	0.2981449665
15	0.2727989441
16	0.2572995848
17	0.2415965193
18	0.2335419643
19	0.2159975472
20	0.211827989
21	0.2071583952
22	0.2009952685
23	0.1909979244
24	0.1853820393
25	0.171090056
26	0.1629300041
27	0.1598068741
28	0.1547561544
29	0.1519498777
30	0.1448091051
31	0.1425144373
32	0.1369994735
33	0.1307058852
34	0.124232972
35	0.1175588303
36	0.1116796179
37	0.1077074047
38	0.103403616
39	0.1007925051
40	0.09922298451
41	0.09674898803
42	0.0937141052
43	0.09052575493
44	0.08708419752
45	0.08536500483
46	0.08343289824
47	0.08156151296
48	0.07869790625
49	0.07669979801
50	0.07303967909
51	0.06993070782
52	0.06775520137
53	0.06569582503
54	0.06380585441
55	0.06283717361
56	0.06172450592
57	0.06010743627
58	0.05942118226
59	0.05767635831
60	0.05618844512
61	0.05508199655
62	0.0537509649
63	0.05263184317
64	0.05107134427
65	0.04987525178
66	0.04882178715
67	0.04834654697
68	0.04809375231
69	0.04689093274
70	0.04578575575
71	0.04445372951
72	0.04397823212
73	0.04335395868
74	0.04236001758
75	0.04163355634
76	0.04105667387
77	0.04067173612
78	0.0396760935
79	0.03923876284
80	0.03841822704
81	0.03769480216
82	0.03703481141
83	0.03650764447
84	0.03584603646
85	0.03513169118
86	0.0345635126
87	0.03433593181
88	0.03392798252
89	0.03347707036
90	0.03304031176
91	0.03259238327
92	0.03220208588
93	0.03166460206
94	0.03094309625
95	0.03056544054
96	0.03024302432
97	0.03006496515
98	0.02968934081
99	0.02929105814
100	0.02896547585
101	0.02860404822
102	0.02830558928
103	0.02805365907
104	0.02764170468
105	0.02731080655
106	0.02708044726
107	0.02694839896
108	0.02661659659
109	0.02640052389
110	0.02606357089
111	0.02587420905
112	0.02564794118
113	0.02530885533
114	0.02508532875
115	0.02488025405
116	0.02464123189
117	0.0244648602
118	0.02411218763
119	0.02379863881
120	0.02365611835
121	0.02342535724
122	0.023302581
123	0.02317964941
124	0.02288179447
125	0.02262150534
126	0.02243560901
127	0.02218278502
128	0.02200218831
129	0.02163673109
130	0.02150276592
131	0.02124210396
132	0.02103828315
133	0.02091149012
134	0.02066881705
135	0.02045255871
136	0.02019046762
137	0.01999521066
138	0.01984848016
139	0.01954849757
140	0.01941097682
141	0.01919532687
142	0.01899249377
143	0.01883501611
144	0.0187511948
145	0.0185009587
146	0.01841532037
147	0.01824369461
148	0.01810027025
149	0.0179458515
150	0.01781508179
151	0.01768081009
152	0.01752449409
153	0.0174468882
154	0.01733506723
155	0.0172051076
156	0.01714000315
157	0.01703374836
158	0.01694395624
159	0.01666068051
160	0.01657098084
161	0.01643054381
162	0.01630714208
163	0.01626385929
164	0.01616017081
165	0.01603953852
166	0.01592069339
167	0.01581446647
168	0.01577273736
169	0.01572762005
170	0.01563466449
171	0.01553369552
172	0.0154360236
173	0.01532866723
174	0.01521229975
175	0.01516009219
176	0.0150915059
177	0.01497493468
178	0.01488031915
179	0.01479199267
180	0.01475343817
181	0.01468867699
182	0.01461439319
183	0.01455487171
184	0.01446434335
185	0.0144031877
186	0.01434945144
187	0.01429493592
188	0.01422458844
189	0.01410494658
190	0.01401944891
191	0.01391586875
192	0.01382221394
193	0.01376768415
194	0.01368207685
195	0.01361547372
196	0.01351047858
197	0.01337500213
198	0.01331235185
199	0.01326752573
